run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
1,0,1,4,100000,None,5,MAFN,relu,8,-5,0,None,0.5018287723929606,0.3433065471969946,0.19017444512502207,0.09823448295396045,0.023611360090920023,0.00849579108591107,0.024235655557476893,0.009344035860647382,0.043011024708567845,0.013210873851354015,128-128-128,512,1000,712,2072.7105022959877,6.6602269189897925,2104.006028928008,NVIDIA A40
2,0,1,4,100000,None,5,MAFN,relu,8,-5,0,None,0.17712400114428747,0.22181302964972935,0.1060308090598951,0.110165315396218,0.0327824423290052,0.011626878537283652,0.033795281703791265,0.012550612864942527,0.026959748024258684,0.009743967544952067,256-256-256,512,1000,270,814.4886012790084,4.876127355993958,835.0952424599964,NVIDIA A40
3,0,1,4,100000,None,10,MAFN,relu,8,-5,0,None,4.127690634607777e-55,1.640761014653706e-54,0.001,0.0,0.6037242057463761,0.1593620277518906,0.5864911671667119,0.2522855986831208,1.0005796462973475,0.0195669637044756,128-128-128,512,1000,24,139.34563568400335,5.839120566990459,176.97503371202038,NVIDIA A40
4,985772,985773,4,100000,None,10,MAFN,relu,8,-5,0,None,0.34426081933616565,0.31636666480435705,0.1687576412168366,0.09164403015038296,0.034562753733176674,0.013632381583702217,0.03407112296578639,0.017100043234666778,0.03066668160316437,0.009836261998404023,256-256-256,512,1000,396,2172.3788481490046,4.827608067018446,2219.7238423289964,NVIDIA A40
5,187,188,4,100000,None,5,MAFN,relu,8,-5,0,None,0.5166955972723093,0.250027970166794,0.24085366348778225,0.031160815119981363,0.027503545410059827,0.007668238655906966,0.028104571975358837,0.0094015292744666,0.028058439754294832,0.003131325469792205,128-128-128,512,1000,600,1772.8959362939931,5.955732178990729,1794.4483038780163,NVIDIA A40
6,187,188,4,100000,None,5,MAFN,relu,8,-5,0,None,0.4301517183492819,0.23195869438113684,0.22025490447153523,0.059933216113792764,0.020742997915603734,0.00509170644799439,0.022017045674186574,0.006652716792871138,0.024740745426875536,0.007265450456749065,256-256-256,512,1000,391,1170.2571685299918,4.753371202008566,1189.9118607350101,NVIDIA A40
7,187,188,4,100000,None,10,MAFN,relu,8,-5,0,None,0.38971637250000857,0.26442032157805845,0.21065076364847385,0.06435535310752881,0.03163102992417065,0.007996115131921954,0.031306361964713834,0.012210193452347187,0.06829531390648508,0.016535809714619983,128-128-128,512,1000,661,3580.8691305149987,4.885067512979731,3616.5216933219926,NVIDIA A40
8,187,188,4,100000,None,10,MAFN,relu,8,-5,0,None,0.3071148713098863,0.2206993179133537,0.15387482356298554,0.09980759982600773,0.042306345901777606,0.017988204381435308,0.043215390411667734,0.018551396902874395,0.15371677392805605,0.01740694834928238,256-256-256,512,1000,450,2479.573361924995,4.817862264026189,2516.093699018995,NVIDIA A40
9,377,378,4,100000,None,5,MAFN,relu,8,-5,0,None,0.3761193753675915,0.3125318321271424,0.16757425377311178,0.08924718192503961,0.03176917913566263,0.014078780671185016,0.03041337026400521,0.016979808925632448,0.03511158183830926,0.02011240648297482,128-128-128,512,1000,533,1597.6798780789832,5.785890187020414,1620.9422065359831,NVIDIA A40
10,377,378,4,100000,None,5,MAFN,relu,8,-5,0,None,0.46378611613270165,0.2958917741867239,0.2117030796892161,0.06834899139516,0.026141069405890484,0.010260235577431843,0.02465430963139728,0.012129764974035343,0.03375436032656951,0.01611731594389777,256-256-256,512,1000,404,1219.6166861969978,4.751058857014868,1239.12651912999,NVIDIA A40
